__time,process,LOG_LEVEL,pid,Log,Origin,host
1641828601000,CRON,Info,397065,pam_unix(cron:session): session closed for user root,Jan 10 15:30:01 datanode3 CRON[397065]: pam_unix(cron:session): session closed for user root,datanode3
1641828601000,CRON,Info,397065,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 15:30:01 datanode3 CRON[397065]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641829303000,sshd,Info,9999,Accepted password for root from 192.168.0.247 port 4987 ssh2,Jan 10 15:41:43 datanode1 sshd[9999]: Accepted password for root from 192.168.0.247 port 4987 ssh2,datanode1
1641829303000,sshd,Info,9999,pam_unix(sshd:session): session opened for user root by (uid=0),Jan 10 15:41:43 datanode1 sshd[9999]: pam_unix(sshd:session): session opened for user root by (uid=0),datanode1
1641829303000,systemd-logind,Info,779,New session 7238 of user root.,Jan 10 15:41:43 datanode1 systemd-logind[779]: New session 7238 of user root.,datanode1
1641829622000,chage,Info,14804,changed password expiry for vnstat,Jan 10 15:47:02 datanode1 chage[14804]: changed password expiry for vnstat,datanode1
1641829622000,chfn,Info,14807,changed user 'vnstat' information,Jan 10 15:47:02 datanode1 chfn[14807]: changed user 'vnstat' information,datanode1
1641829622000,groupadd,Info,14784,"group added to /etc/group: name=vnstat, GID=128","Jan 10 15:47:02 datanode1 groupadd[14784]: group added to /etc/group: name=vnstat, GID=128",datanode1
1641829622000,groupadd,Info,14784,group added to /etc/gshadow: name=vnstat,Jan 10 15:47:02 datanode1 groupadd[14784]: group added to /etc/gshadow: name=vnstat,datanode1
1641829622000,groupadd,Info,14784,"new group: name=vnstat, GID=128","Jan 10 15:47:02 datanode1 groupadd[14784]: new group: name=vnstat, GID=128",datanode1
1641829622000,useradd,Info,14790,"new user: name=vnstat, UID=124, GID=128, home=/var/lib/vnstat, shell=/usr/sbin/nologin","Jan 10 15:47:02 datanode1 useradd[14790]: new user: name=vnstat, UID=124, GID=128, home=/var/lib/vnstat, shell=/usr/sbin/nologin",datanode1
1641829622000,usermod,Info,14799,change user 'vnstat' password,Jan 10 15:47:02 datanode1 usermod[14799]: change user 'vnstat' password,datanode1
1641829638000,pkexec,Info,,pam_unix(polkit-1:session): session opened for user root by (uid=1000),Jan 10 15:47:18 datanode1 pkexec: pam_unix(polkit-1:session): session opened for user root by (uid=1000),datanode1
1641829638000,pkexec,Info,15597,pc107: Executing command [USER=root] [TTY=unknown] [CWD=/home/pc107] [COMMAND=/usr/lib/update-notifier/package-system-locked],Jan 10 15:47:18 datanode1 pkexec[15597]: pc107: Executing command [USER=root] [TTY=unknown] [CWD=/home/pc107] [COMMAND=/usr/lib/update-notifier/package-system-locked],datanode1
1641829818000,pkexec,Info,,pam_unix(polkit-1:session): session opened for user root by (uid=1000),Jan 10 15:50:18 datanode1 pkexec: pam_unix(polkit-1:session): session opened for user root by (uid=1000),datanode1
1641829818000,pkexec,Info,18473,pc107: Executing command [USER=root] [TTY=unknown] [CWD=/home/pc107] [COMMAND=/usr/lib/update-notifier/package-system-locked],Jan 10 15:50:18 datanode1 pkexec[18473]: pc107: Executing command [USER=root] [TTY=unknown] [CWD=/home/pc107] [COMMAND=/usr/lib/update-notifier/package-system-locked],datanode1
1641829921000,CRON,Info,18076,pam_unix(cron:session): session closed for user root,Jan 10 15:52:01 namenode2 CRON[18076]: pam_unix(cron:session): session closed for user root,namenode2
1641829921000,CRON,Info,18076,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 15:52:01 namenode2 CRON[18076]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641831421000,CRON,Info,12001,pam_unix(cron:session): session closed for user root,Jan 10 16:17:01 namenode2 CRON[12001]: pam_unix(cron:session): session closed for user root,namenode2
1641831421000,CRON,Info,12001,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 16:17:01 namenode2 CRON[12001]: pam_unix(cron:session): session opened for user root by (uid=0),namenode2
1641831421000,CRON,Info,445911,pam_unix(cron:session): session closed for user root,Jan 10 16:17:01 datanode3 CRON[445911]: pam_unix(cron:session): session closed for user root,datanode3
1641831421000,CRON,Info,445911,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 16:17:01 datanode3 CRON[445911]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641831421000,CRON,Info,9729,pam_unix(cron:session): session closed for user root,Jan 10 16:17:01 datanode1 CRON[9729]: pam_unix(cron:session): session closed for user root,datanode1
1641831421000,CRON,Info,9729,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 16:17:01 datanode1 CRON[9729]: pam_unix(cron:session): session opened for user root by (uid=0),datanode1
1641832201000,CRON,Info,459454,pam_unix(cron:session): session closed for user root,Jan 10 16:30:01 datanode3 CRON[459454]: pam_unix(cron:session): session closed for user root,datanode3
1641832201000,CRON,Info,459454,pam_unix(cron:session): session opened for user root by (uid=0),Jan 10 16:30:01 datanode3 CRON[459454]: pam_unix(cron:session): session opened for user root by (uid=0),datanode3
1641834973000,sshd,Info,10807,Accepted password for root from 192.168.0.107 port 55302 ssh2,Jan 10 17:16:13 namenode2 sshd[10807]: Accepted password for root from 192.168.0.107 port 55302 ssh2,namenode2
