rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,비유동자산,제 48 기,2017.12.31 현재,"1,726,302,401,467",제 47 기,2016.12.31 현재,"1,562,088,764,392",제 46 기,2015.12.31 현재,"1,526,336,019,163",3,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,자산총계,제 48 기,2017.12.31 현재,"2,944,784,346,646",제 47 기,2016.12.31 현재,"2,741,946,502,613",제 46 기,2015.12.31 현재,"2,495,514,992,742",5,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,유동부채,제 48 기,2017.12.31 현재,"1,307,593,984,285",제 47 기,2016.12.31 현재,"1,314,767,741,436",제 46 기,2015.12.31 현재,"1,232,855,272,869",7,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,비유동부채,제 48 기,2017.12.31 현재,"485,126,304,204",제 47 기,2016.12.31 현재,"415,758,016,402",제 46 기,2015.12.31 현재,"361,066,261,065",9,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,부채총계,제 48 기,2017.12.31 현재,"1,792,720,288,489",제 47 기,2016.12.31 현재,"1,730,525,757,838",제 46 기,2015.12.31 현재,"1,593,921,533,934",11,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,자본금,제 48 기,2017.12.31 현재,"66,237,805,000",제 47 기,2016.12.31 현재,"66,237,805,000",제 46 기,2015.12.31 현재,"66,237,805,000",13,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 48 기,2017.12.31 현재,"394,101,587,530",제 47 기,2016.12.31 현재,"303,484,157,494",제 46 기,2015.12.31 현재,"243,743,723,410",17,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,BS,재무상태표,자본총계,제 48 기,2017.12.31 현재,"1,152,064,058,157",제 47 기,2016.12.31 현재,"1,011,420,744,775",제 46 기,2015.12.31 현재,"901,593,458,808",21,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,IS,손익계산서,매출액,제 48 기,2017.01.01 ~ 2017.12.31,"3,392,454,610,505",제 47 기,2016.01.01 ~ 2016.12.31,"2,921,831,063,617",제 46 기,2015.01.01 ~ 2015.12.31,"2,807,147,867,285",23,KRW
20180330002417,11011,2017,00125080,006840,CFS,연결재무제표,IS,손익계산서,영업이익,제 48 기,2017.01.01 ~ 2017.12.31,"265,641,267,071",제 47 기,2016.01.01 ~ 2016.12.31,"213,669,704,558",제 46 기,2015.01.01 ~ 2015.12.31,"106,316,161,081",25,KRW
